,symbol,time stamp,open,high,low,close,volume
0,TSLA,2023-01-03 04:00,120.02,121.23,115.94,118.55,137929
1,TSLA,2023-01-03 04:01,118.51,119.38,118.49,119.38,60225
2,TSLA,2023-01-03 04:02,119.2,120.2,119.09,120.01,72783
3,TSLA,2023-01-03 04:03,120.05,120.15,119.53,119.72,65637
4,TSLA,2023-01-03 04:04,119.74,119.8,119.25,119.29,27340
5,TSLA,2023-01-03 04:05,119.2,119.72,119.09,119.12,34911
6,TSLA,2023-01-03 04:06,119.1,119.4,118.7,119.0,53239
7,TSLA,2023-01-03 04:07,118.92,118.95,117.75,117.8,49435
8,TSLA,2023-01-03 04:08,117.7,117.8,116.88,117.5,69794
9,TSLA,2023-01-03 04:09,117.5,118.2,117.5,118.19,24699
10,TSLA,2023-01-03 04:10,118.2,118.5,117.77,118.4,38481
11,TSLA,2023-01-03 04:11,118.26,119.2,118.22,118.42,29361
12,TSLA,2023-01-03 04:12,118.49,118.58,118.45,118.5,13701
13,TSLA,2023-01-03 04:13,118.51,118.75,118.45,118.7,10992
14,TSLA,2023-01-03 04:14,118.74,118.98,118.5,118.71,21758
15,TSLA,2023-01-03 04:15,118.7,118.88,118.57,118.57,12678
16,TSLA,2023-01-03 04:16,118.58,118.88,118.55,118.82,14595
17,TSLA,2023-01-03 04:17,118.8,118.82,118.2,118.4,28973
18,TSLA,2023-01-03 04:18,118.45,118.7,118.3,118.58,12408
19,TSLA,2023-01-03 04:19,118.55,118.6,118.35,118.35,8034
20,TSLA,2023-01-03 04:20,118.39,118.6,118.34,118.6,16543
21,TSLA,2023-01-03 04:21,118.59,118.9,118.58,118.69,23390
22,TSLA,2023-01-03 04:22,118.68,119.0,118.68,118.99,25846
23,TSLA,2023-01-03 04:23,118.99,119.0,118.61,118.69,19140
24,TSLA,2023-01-03 04:24,118.74,119.0,118.72,118.72,17555
25,TSLA,2023-01-03 04:25,118.7,118.7,118.46,118.49,11782
26,TSLA,2023-01-03 04:26,118.42,118.69,118.36,118.69,12686
27,TSLA,2023-01-03 04:27,118.66,118.66,118.52,118.59,7052
28,TSLA,2023-01-03 04:28,118.55,118.55,117.83,118.0,30308
29,TSLA,2023-01-03 04:29,118.11,118.35,118.11,118.35,9161
30,TSLA,2023-01-03 04:30,118.38,118.68,118.3,118.6,12815
31,TSLA,2023-01-03 04:31,118.45,118.6,118.4,118.54,10196
32,TSLA,2023-01-03 04:32,118.6,118.83,118.56,118.8,13562
33,TSLA,2023-01-03 04:33,118.83,119.0,118.8,118.95,16033
34,TSLA,2023-01-03 04:34,118.95,118.95,118.59,118.78,10083
35,TSLA,2023-01-03 04:35,118.71,118.78,118.62,118.67,6127
36,TSLA,2023-01-03 04:36,118.64,118.69,118.6,118.69,9787
37,TSLA,2023-01-03 04:37,118.69,118.69,118.5,118.57,8759
38,TSLA,2023-01-03 04:38,118.57,118.6,118.27,118.27,16753
39,TSLA,2023-01-03 04:39,118.25,118.52,118.24,118.35,9654
40,TSLA,2023-01-03 04:40,118.38,118.41,118.29,118.3,5820
41,TSLA,2023-01-03 04:41,118.26,118.33,118.2,118.2,7445
42,TSLA,2023-01-03 04:42,118.2,118.28,118.12,118.15,13811
43,TSLA,2023-01-03 04:43,118.2,118.2,117.9,118.15,28791
44,TSLA,2023-01-03 04:44,118.06,118.15,118.0,118.15,5665
45,TSLA,2023-01-03 04:45,118.15,118.21,118.07,118.07,11559
46,TSLA,2023-01-03 04:46,118.01,118.24,117.99,118.2,15699
47,TSLA,2023-01-03 04:47,118.19,118.22,118.1,118.1,14063
48,TSLA,2023-01-03 04:48,118.07,118.14,118.06,118.14,3613
49,TSLA,2023-01-03 04:49,118.2,118.29,118.11,118.11,6881
50,TSLA,2023-01-03 04:50,118.22,118.29,118.12,118.18,8057
51,TSLA,2023-01-03 04:51,118.21,118.21,118.15,118.16,2920
52,TSLA,2023-01-03 04:52,118.17,118.25,118.17,118.18,4177
53,TSLA,2023-01-03 04:53,118.18,118.19,118.14,118.14,5262
54,TSLA,2023-01-03 04:54,118.13,118.2,118.12,118.12,13103
55,TSLA,2023-01-03 04:55,118.1,118.12,118.0,118.12,33279
56,TSLA,2023-01-03 04:56,118.12,118.56,118.12,118.33,25296
57,TSLA,2023-01-03 04:57,118.29,118.37,118.2,118.37,11155
58,TSLA,2023-01-03 04:58,118.3,118.3,118.22,118.3,8736
59,TSLA,2023-01-03 04:59,118.3,118.53,118.3,118.52,7169
60,TSLA,2023-01-03 05:00,118.53,118.54,118.4,118.48,6459
61,TSLA,2023-01-03 05:01,118.4,118.6,118.4,118.44,7058
62,TSLA,2023-01-03 05:02,118.43,118.6,118.42,118.6,19105
63,TSLA,2023-01-03 05:03,118.55,118.6,118.5,118.51,5693
64,TSLA,2023-01-03 05:04,118.56,118.56,118.48,118.48,4954
65,TSLA,2023-01-03 05:05,118.43,118.5,118.4,118.5,6060
66,TSLA,2023-01-03 05:06,118.45,118.83,118.45,118.83,10928
67,TSLA,2023-01-03 05:07,118.9,118.9,118.8,118.82,12617
68,TSLA,2023-01-03 05:08,118.89,118.89,118.65,118.7,7700
